iso_year,iso_week,week_start,week_end,n_days,open_known,closed_known,other_share,open_share_classified_pct,open_share_of_total_pct,closed_share_of_total_pct
2026,29,2026-07-15,2026-07-19,5,11.851700,11.822260,76.326040,49.635361,11.851700,11.822260
2026,30,2026-07-20,2026-07-26,7,10.220786,13.858100,75.921129,39.884551,10.220786,13.858100
2026,31,2026-07-27,2026-08-02,7,9.640271,19.242786,71.116943,33.497480,9.640271,19.242786
2026,32,2026-08-03,2026-08-09,7,17.229314,18.152571,64.618171,48.292819,17.229314,18.152571
2026,33,2026-08-10,2026-08-16,7,21.798157,17.042086,61.159786,56.236050,21.798157,17.042086
2026,34,2026-08-17,2026-08-23,7,22.677943,17.228129,60.093986,56.543282,22.677943,17.228129
2026,35,2026-08-24,2026-08-30,7,22.570229,15.915714,61.514029,59.017503,22.570229,15.915714
2026,36,2026-08-31,2026-09-06,7,24.848557,17.114829,58.036629,59.263761,24.848557,17.114829
2026,37,2026-09-07,2026-09-13,7,49.377900,16.781414,33.840686,70.720022,49.377900,16.781414
