iso_year,iso_week,week_start,week_end,n_days,open_known,closed_known,other_share,open_share_classified_pct,open_share_of_total_pct
2026,29,2026-07-15,2026-07-19,5,46.728580,53.271360,0.000000,46.728610,46.728580
2026,30,2026-07-20,2026-07-26,7,47.728871,52.271171,0.000000,47.728853,47.728871
2026,31,2026-07-27,2026-08-02,7,47.092086,52.907943,0.000000,47.092070,47.092086
2026,32,2026-08-03,2026-08-09,7,53.150186,46.849771,0.000000,53.150214,53.150186
2026,33,2026-08-10,2026-08-16,7,53.775571,46.224471,0.000000,53.775549,53.775571
2026,34,2026-08-17,2026-08-23,7,58.675829,41.324214,0.000000,58.675801,58.675829
2026,35,2026-08-24,2026-08-30,7,62.488200,37.511643,0.000000,62.488299,62.488200
2026,36,2026-08-31,2026-09-06,7,65.784657,34.215257,0.000000,65.784711,65.784657
2026,37,2026-09-07,2026-09-13,7,71.228529,28.771471,0.000000,71.228526,71.228529
